Ticker,Category,CompanyName,Exchange
CUO,Diversified Machinery,Continental Materials Corporation,ASE
CUR,Biotechnology,"Neuralstem, Inc.",NCM
CUTR,Medical Appliances & Equipment,"Cutera, Inc.",NMS
CUZ,REIT - Diversified,Cousins Properties Incorporated,NYQ
CVA,Waste Management,Covanta Holding Corporation,NYQ
CVAT,Agricultural Chemicals,"Cavitation Technologies, Inc.",PNK
CVBF,Regional - Pacific Banks,CVB Financial Corp.,NMS
CVCO,Residential Construction,"Cavco Industries, Inc.",NMS
CVCY,Regional - Pacific Banks,Central Valley Community Bancorp,NCM
CVE,Oil & Gas Drilling & Exploration,Cenovus Energy Inc.,NYQ
CVEO,Business Services,Civeo Corporation,NYQ
CVG,Business Services,Convergys Corporation,NYQ
CVGI,Auto Parts Wholesale,"Commercial Vehicle Group, Inc.",NMS
CVGW,Farm Products,"Calavo Growers, Inc.",NMS
CVI,Oil & Gas Refining & Marketing,"CVR Energy, Inc.",NYQ
CVLT,Application Software,"Commvault Systems, Inc.",NMS
CVLY,Regional - Northeast Banks,"Codorus Valley Bancorp, Inc.",NGM
CVM,Biotechnology,CEL-SCI Corporation,ASE
CVO,Business Services,"Cenveo, Inc.",NGM
CVR,Machine Tools & Accessories,Chicago Rivet & Machine Co.,ASE
CVRR,Oil & Gas Refining & Marketing,"CVR Refining, LP",NYQ
CVRS,Medical Appliances & Equipment,"Corindus Vascular Robotics, Inc.",ASE
CVS,Health Care Plans,CVS Health Corporation,NYQ
CVTI,Trucking,"Covenant Transportation Group, Inc.",NMS
CVU,Aerospace/Defense Products & Services,"CPI Aerostructures, Inc.",ASE
CVV,Diversified Machinery,CVD Equipment Corporation,NCM
CVX,Major Integrated Oil & Gas,Chevron Corporation,NYQ
CW,Diversified Machinery,Curtiss-Wright Corporation,NYQ
CWAY,Regional - Northeast Banks,"Coastway Bancorp, Inc.",NCM
CWBB,Regional - Pacific Banks,Commonwealth Business Bank,PNK
CWBC,Regional - Pacific Banks,Community West Bancshares,NGM
CWBK,Regional - Pacific Banks,CommerceWest Bank,OBB
CWCO,Water Utilities,Consolidated Water Co. Ltd.,NMS
CWRL,Communication Equipment,CornerWorld Corporation,PNK
CWST,Waste Management,"Casella Waste Systems, Inc.",NMS
CWT,Water Utilities,California Water Service Group,NYQ
CX,Cement,"CEMEX, S.A.B. de C.V.",NYQ
CXDC,Rubber & Plastics,China XD Plastics Company Limited,NGM
CXO,Oil & Gas Drilling & Exploration,Concho Resources Inc.,NYQ
CXP,REIT - Office,"Columbia Property Trust, Inc.",NYQ
CXW,REIT - Diversified,"CoreCivic, Inc.",NYQ
CY,Semiconductor - Broad Line,Cypress Semiconductor Corporation,NMS
CYAN,Biotechnology,Cyanotech Corporation,NCM
CYBE,Scientific & Technical Instruments,CyberOptics Corporation,NGM
CYBR,Business Software & Services,CyberArk Software Ltd.,NMS
CYCA,Diversified Investments,Cytta Corp.,PNK
CYD,Diversified Machinery,China Yuchai International Limited,NYQ
CYH,Hospitals,"Community Health Systems, Inc.",NYQ
CYIO,Aerospace/Defense Products & Services,CYIOS Corporation,PNK
CYLU,Industrial Electrical Equipment,"Cyalume Technologies Holdings, Inc.",PNK
CYNK,Conglomerates,Cynk Technology Corp.,PNK
CYOU,Multimedia & Graphics Software,Changyou.com Limited,NMS
CYRN,Security Software & Services,CYREN Ltd.,NCM
CYRX,Packaging & Containers,"Cryoport, Inc.",NCM
CYS,REIT - Diversified,"CYS Investments, Inc.",NYQ
CYTK,Biotechnology,"Cytokinetics, Incorporated",NMS
CYTR,Biotechnology,CytRx Corporation,NCM
CYTX,Biotechnology,"Cytori Therapeutics, Inc.",NCM
CZBS,Regional - Mid-Atlantic Banks,Citizens Bancshares Corporation,PNK
CZBT,Regional - Mid-Atlantic Banks,"Citizens Bancorp of Virginia, Inc.",PNK
CZFC,Regional - Southeast Banks,Citizens First Corporation,NGM
CZFS,Regional - Northeast Banks,"Citizens Financial Services, Inc.",OBB
CZNB,Regional - Pacific Banks,"Citizens Bancorp (Nevada City, CA)",PNK
CZNC,Regional - Mid-Atlantic Banks,Citizens & Northern Corporation,NCM
CZR,Resorts & Casinos,Caesars Entertainment Corporation,NMS
CZWI,Regional - Midwest Banks,"Citizens Community Bancorp, Inc.",NGM
CZYB,Regional - Mid-Atlantic Banks,"CCB Bankshares, Inc.",PNK
CZZ,Diversified Utilities,Cosan Limited,NYQ
D,Electric Utilities,"Dominion Energy, Inc.",NYQ
DAC,Shipping,Danaos Corporation,NYQ
DAIO,Diversified Electronics,Data I/O Corporation,NCM
DAKT,Computer Based Systems,Daktronics Inc.,NMS
DAL,Major Airlines,"Delta Air Lines, Inc.",NYQ
DALP,Conglomerates,Dala Petroleum Corp.,PNK
DAN,Auto Parts,Dana Incorporated,NYQ
DAR,Waste Management,Darling Ingredients Inc.,NYQ
DATA,Application Software,"Tableau Software, Inc.",NYQ
DAVE,Restaurants,"Famous Dave's of America, Inc.",NMS
DB,Foreign Regional Banks,Deutsche Bank Aktiengesellschaft,NYQ
DBD,Diversified Computer Systems,"Diebold Nixdorf, Incorporated",NYQ
DBRM,Independent Oil & Gas,"Daybreak Oil and Gas, Inc.",PNK
DCAC,Business Services,"Daniels Corporate Advisory Company, Inc.",PNK
DCI,Diversified Machinery,"Donaldson Company, Inc.",NYQ
DCIX,Shipping,Diana Containerships Inc.,NMS
DCLT,Business Services,"Data Call Technologies, Inc.",PNK
DCM,Diversified Communication Services,"NTT DOCOMO, INC.",NYQ
DCO,Aerospace/Defense Products & Services,Ducommun Incorporated,NYQ
DCOM,Savings & Loans,"Dime Community Bancshares, Inc.",NMS
DCT,REIT - Industrial,DCT Industrial Trust Inc.,NYQ
DCTH,Drug Delivery,"Delcath Systems, Inc.",NCM
DD,Agricultural Chemicals,E. I. du Pont de Nemours and Company,NYQ
DDC,Nonmetallic Mineral Mining,Dominion Diamond Corporation,NYQ
DDD,Computer Peripherals,3D Systems Corporation,NYQ
DDE,Gaming Activities,"Dover Downs Gaming & Entertainment, Inc.",NYQ
DDR,REIT - Retail,DDR Corp.,NYQ
DDRI,Industrial Metals & Minerals,Diversified Resources Inc.,PNK
DDRT,Biotechnology,"DanDrit Biotech USA, Inc.",PNK
DDS,Department Stores,"Dillard's, Inc.",NYQ
DE,Farm & Construction Machinery,Deere & Company,NYQ
DEAC,Application Software,Elite Data Services Inc.,PNK
DECK,Textile - Apparel Footwear & Accessories,Deckers Outdoor Corporation,NYQ
DECN,Drug Stores,Decision Diagnostics Corp.,PNK
DEER,Home Furnishings & Fixtures,"Deer Consumer Products, Inc.",PNK
DEI,REIT - Diversified,"Douglas Emmett, Inc.",NYQ
DEL,"Lumber, Wood Production",Deltic Timber Corporation,NYQ
DELT,Specialty Chemicals,Delta Technology Holdings Limited,NCM
DELTY,Specialty Chemicals,Delta Galil Industries Ltd.,PNK
DENN,Restaurants,Denny's Corporation,NCM
DEO,Beverages - Wineries & Distillers,Diageo plc,NYQ
DEPO,Drug Manufacturers - Other,"Depomed, Inc.",NMS
DERM,Biotechnology,"Dermira, Inc.",NMS
DEST,Apparel Stores,Destination Maternity Corporation,NMS
DEWY,Diversified Electronics,The Dewey Electronics Corporation,PNK
DF,Dairy Products,Dean Foods Company,NYQ
DFRG,Restaurants,"Del Frisco's Restaurant Group, Inc.",NMS
DFS,Credit Services,Discover Financial Services,NYQ
DFT,REIT - Office,"DuPont Fabros Technology, Inc.",NYQ
DG,"Discount, Variety Stores",Dollar General Corporation,NYQ
DGAS,Gas Utilities,"Delta Natural Gas Company, Inc.",NMS
DGDM,Communication Equipment,"Digital Development Partners, Inc.",PNK
DGI,Aerospace/Defense Products & Services,"DigitalGlobe, Inc.",NYQ
DGICB,Property & Casualty Insurance,Donegal Group Inc.,NMS
DGII,Networking & Communication Devices,Digi International Inc.,NMS
DGJI,Biotechnology,Dragon Jade International Limited,PNK
DGLY,Scientific & Technical Instruments,"Digital Ally, Inc.",NCM
DGSE,Jewelry Stores,"DGSE Companies, Inc.",ASE
DGTW,Business Services,"DigitalTown, Inc.",PNK
DGX,Medical Laboratories & Research,Quest Diagnostics Incorporated,NYQ
DHI,Residential Construction,"D.R. Horton, Inc.",NYQ
DHIL,Asset Management,"Diamond Hill Investment Group, Inc.",NMS
DHR,Diversified Machinery,Danaher Corporation,NYQ
DHT,Shipping,"DHT Holdings, Inc.",NYQ
DHX,Staffing & Outsourcing Services,"DHI Group, Inc.",NYQ
DIALF,Entertainment - Diversified,Dialight plc,PNK
DIGP,Healthcare Information Services,"DigiPath, Inc.",PNK
DIMC,Regional - Northeast Banks,"Dimeco, Inc.",PNK
DIMN,Conglomerates,"Diamante Minerals, Inc.",PNK
DIN,Restaurants,"DineEquity, Inc.",NYQ
DIOD,Semiconductor - Integrated Circuits,Diodes Incorporated,NMS
DION,Semiconductor - Specialized,Dionics Inc.,PNK
DIRV,Wireless Communications,"DirectView Holdings, Inc.",PNK
DIS,Entertainment - Diversified,The Walt Disney Company,NYQ
DISCA,CATV Systems,"Discovery Communications, Inc.",NMS
DISH,CATV Systems,DISH Network Corporation,NMS
DIT,Food Wholesale,AMCON Distributing Company,ASE
DJCO,Publishing - Newspapers,Daily Journal Corporation,NCM
DJSP,Business Services,"DJSP Enterprises, Inc.",PNK
DK,Oil & Gas Refining & Marketing,"Delek US Holdings, Inc.",NYQ
DKL,Independent Oil & Gas,"Delek Logistics Partners, LP",NYQ
DKS,Sporting Goods Stores,"Dick's Sporting Goods, Inc.",NYQ
DL,Education & Training Services,China Distance Education Holdings Limited,NYQ
DLA,Textile - Apparel Clothing,"Delta Apparel, Inc.",ASE
DLB,Diversified Electronics,"Dolby Laboratories, Inc.",NYQ
DLDG,Conglomerates,"DLD Group, Inc.",PNK
DLHC,Staffing & Outsourcing Services,DLH Holdings Corp.,NCM
DLNG,Shipping,Dynagas LNG Partners LP,NYQ
DLNO,Regional - Northeast Banks,"Delanco Bancorp, Inc.",PNK
